s_P_0,determinant0,s_P_1,determinant1
4.882777404940156e-17,-1.7794714964571026,1.5188995939964442e-14,-1.7794714964571026
4.118378497251302e-15,-1.7134881177457708,2.922665590173819e-14,-1.7134881177457708
3.6285004627710865e-14,-1.6518759535293608,2.3319075528922363e-13,-1.6518759535293608
4.1020031505773486e-14,-1.5942066358976006,2.402731860197243e-13,-1.5942066358976006
2.7382698483306324e-14,-1.5401000186404397,1.510577431876659e-13,-1.5401000186404397
2.1294478975748668e-15,-1.4892263633363405,8.230667040179254e-15,-1.4892263633363405
2.6498628974079028e-15,-1.441296415993614,1.0588088221422438e-14,-1.441296415993614
1.8409954505276933e-14,-1.3960527482726701,1.447804970066951e-13,-1.3960527482726701
3.228489912478317e-16,-1.3532663720025377,2.4637353372275477e-17,-1.3532663720025377
7.612037293329381e-16,-1.3127353880210428,1.8647274385464802e-14,-1.3127353880210428
1.0444829201909503e-14,-1.2742787354421956,6.028553649955086e-14,-1.2742787354421956
6.98776798229513e-15,-1.2377331799297615,3.563373149985294e-14,-1.2377331799297615
5.486392386021881e-17,-1.202953038920197,1.2963916109806009e-17,-1.202953038920197
1.689283588956299e-14,-1.1698073163345253,1.0646747175956532e-13,-1.1698073163345253
1.0233755747125309e-14,-1.1381773855325445,7.149775879280406e-14,-1.1381773855325445
1.5874144575716846e-14,-1.1079557112773464,9.367635509719818e-14,-1.1079557112773464
8.065121008706518e-14,-1.0790441096154655,5.968605142253751e-13,-1.0790441096154655
1.1167142757779475e-14,-1.0513539492754354,7.279976883339872e-14,-1.0513539492754354
3.9683074547435373e-14,-1.0248045162464712,2.659878108547574e-13,-1.0248045162464712
3.009679470314717e-15,-0.9993212101500032,3.488977675281626e-14,-0.9993212101500032
8.076863606916229e-17,-0.9748368880419271,2.4940866479401206e-15,-0.9748368880419271
1.1145789910714955e-16,-0.9512891888045528,3.255678267003751e-15,-0.9512891888045528
9.87286969472754e-15,-0.9286205807518474,7.561235703336353e-14,-0.9286205807518474
1.3450605866702349e-14,-0.9067786971920238,8.277511904381081e-14,-0.9067786971920238
1.1049335370219997e-13,-0.8857149955360175,8.386367398384775e-13,-0.8857149955360175
2.6353531964730935e-17,-0.8653847733605956,5.971610643927517e-18,-0.8653847733605956
1.8441604032921197e-14,-0.8457460964033702,1.1608944854556102e-13,-0.8457460964033702
5.836094466258018e-19,-0.8267609079573255,2.000534610627079e-15,-0.8267609079573255
6.803494925704641e-14,-0.8083934722170798,5.80416117390758e-13,-0.8083934722170798
5.599851442769578e-15,-0.7906103524005216,5.058023180455321e-14,-0.7906103524005216
6.567673321868655e-15,-0.7733809397652924,6.426916503138301e-14,-0.7733809397652924
3.6791753330470885e-16,-0.7566764477613902,8.577367508771214e-15,-0.7566764477613902
2.1241154384274574e-15,-0.7404699042249276,2.1399310962075755e-14,-0.7404699042249276
5.1453734082792385e-14,-0.7247365099832185,4.4338791427564724e-13,-0.7247365099832185
6.966721238325552e-14,-0.709452665448751,6.129745004278468e-13,-0.709452665448751
6.588662883016863e-15,-0.6945964953882356,6.13797636577008e-14,-0.6945964953882356
2.371384843137513e-14,-0.6801474473755889,2.1256356897007454e-13,-0.6801474473755889
8.909561430149192e-16,-0.6660862910906754,3.546930018715656e-15,-0.6660862910906754
5.749718373509235e-15,-0.652394783833237,4.553410111282656e-14,-0.652394783833237
8.039403109479038e-14,-0.6390560159988014,6.872237143306739e-13,-0.6390560159988014
2.189945569279018e-14,-0.6260538758621403,1.9640372113146253e-13,-0.6260538758621403
6.963012544967071e-15,-0.6133733876954968,5.4187844346032123e-14,-0.6133733876954968
1.0321175688436681e-13,-0.6010002230595625,8.97476454667778e-13,-0.6010002230595625
9.741198622281231e-15,-0.5889209372814439,9.682258290153845e-14,-0.5889209372814439
2.8328540875404638e-14,-0.5771229818998742,2.6127625956875245e-13,-0.5771229818998742
8.390140111187166e-15,-0.5655942740193585,6.395585926378158e-14,-0.5655942740193585
2.008640630385953e-14,-0.5543234257906288,1.8349439576083244e-13,-0.5543234257906288
6.485789849004608e-16,-0.5432997691936466,6.656495424291312e-15,-0.5432997691936466
4.237313491816703e-14,-0.5325131321828454,3.8164984353988285e-13,-0.5325131321828454
3.054647196683315e-14,-0.5219538029518049,2.5417488664616403e-13,-0.5219538029518049
5.927601850803871e-14,-0.5116127270503612,5.344882206349852e-13,-0.5116127270503612
3.295983498468212e-14,-0.5014811132319742,3.0160694336004156e-13,-0.5014811132319742
1.253682976324298e-16,-0.4915507136141097,1.416275231977367e-15,-0.4915507136141097
1.497622783165785e-14,-0.481813671294394,1.3221009328653882e-13,-0.481813671294394
5.925390251207408e-15,-0.472262491650447,5.1938523648701096e-14,-0.472262491650447
7.734541792361721e-14,-0.4628900843458701,6.836784098257232e-13,-0.4628900843458701
5.469714952966839e-15,-0.45368959860061536,4.9663576908415905e-14,-0.45368959860061536
1.2612934499492341e-14,-0.4446546048717658,1.0873672017083116e-13,-0.4446546048717658
1.7099091516855415e-14,-0.43577886931133536,1.5132030052507284e-13,-0.43577886931133536
1.3157079597326373e-14,-0.42705653085013784,1.219444032761176e-13,-0.42705653085013784
6.363292919008766e-14,-0.41848194932966015,5.692216572353131e-13,-0.41848194932966015
2.9627369089934695e-16,-0.41004969116373036,2.3991326761739326e-15,-0.41004969116373036
6.529615938071668e-14,-0.4017546342989777,5.861187362394846e-13,-0.4017546342989777
7.649145373849813e-14,-0.3935918143550832,6.890799590988932e-13,-0.3935918143550832
8.901421412794062e-15,-0.38555651503004196,7.819638024404329e-14,-0.38555651503004196
2.3366453202448e-14,-0.3776441805126486,2.1043808501203622e-13,-0.3776441805126486
4.327711299447717e-14,-0.3698504811008253,3.882121909688759e-13,-0.3698504811008253
1.2527078739527837e-14,-0.3621712433474767,1.1277846986846552e-13,-0.3621712433474767
1.1247747003990887e-13,-0.354602453408496,1.0112435005278243e-12,-0.354602453408496
6.4195809852215404e-15,-0.347140269617031,5.786842386844236e-14,-0.347140269617031
1.0180603414403017e-13,-0.33978099158257197,9.163105944088763e-13,-0.33978099158257197
9.836036644194898e-15,-0.3325210632941157,8.842051694550537e-14,-0.3325210632941157
3.41058158971712e-14,-0.3253570634701641,3.073019423640297e-13,-0.3253570634701641
8.812158071998316e-14,-0.3182856958529807,7.926464346694551e-13,-0.3182856958529807
8.436592979324327e-14,-0.31130379557016025,7.582219545871385e-13,-0.31130379557016025
2.202836380596513e-14,-0.30440829559800714,1.9796902102726052e-13,-0.30440829559800714
1.2387362762073752e-13,-0.2975962517644658,1.1148460664430726e-12,-0.2975962517644658
9.684516580506893e-16,-0.29086482634401556,8.58395652532783e-15,-0.29086482634401556
2.5078316114496734e-17,-0.2842112585362637,2.2478190463975674e-16,-0.2842112585362637
1.3643458679195166e-14,-0.27763291087095093,1.2275378175808294e-13,-0.27763291087095093
1.0278584176817949e-13,-0.2711272280462396,9.242654876439824e-13,-0.2711272280462396
1.565518673007241e-13,-0.2646916987869403,1.4089656307262312e-12,-0.2646916987869403
9.334106245237214e-14,-0.2583239625037819,8.402213277097155e-13,-0.2583239625037819
2.2031146150990578e-14,-0.2520216814778036,1.9765152401363528e-13,-0.2520216814778036
5.4680599098364204e-17,-0.24578263554123322,4.622615913552603e-16,-0.24578263554123322
3.156783738051635e-14,-0.23960460956638785,2.844918369509085e-13,-0.23960460956638785
3.9704883704889504e-14,-0.23348551830393144,3.5877463554558e-13,-0.23348551830393144
1.798721702392372e-14,-0.22742331630417784,1.6096882045104384e-13,-0.22742331630417784
4.9765804097419964e-14,-0.2214160158939384,4.475275302092952e-13,-0.2214160158939384
1.9538888821378849e-13,-0.21546168374474503,1.757321375439115e-12,-0.21546168374474503
8.527452114426245e-14,-0.2095584376316125,7.559993162243304e-13,-0.2095584376316125
2.0685100795847428e-13,-0.20370450308700289,1.8523002732730063e-12,-0.20370450308700289
2.583842296131576e-13,-0.1978980499852818,2.3279525246578407e-12,-0.1978980499852818
1.1876521421944861e-14,-0.19213737029634487,1.1309791481473914e-13,-0.19213737029634487
3.296653156425447e-13,-0.18642081383874948,2.9969934434260113e-12,-0.18642081383874948
5.568394513043494e-14,-0.18074674665083454,4.904279560303247e-13,-0.18074674665083454
1.3324246989109771e-14,-0.1751135113998106,1.1128850019439282e-13,-0.1751135113998106
4.281339601757963e-14,-0.16951961671167834,3.62859496622759e-13,-0.16951961671167834
1.860605955952956e-13,-0.16396354208902178,1.65430327690248e-12,-0.16396354208902178
7.718184137755058e-14,-0.15844377548264066,7.137529563354822e-13,-0.15844377548264066
2.5697288986639674e-13,-0.15295888616191092,2.3456227174807988e-12,-0.15295888616191092
1.0498288065028619e-13,-0.14750744739335123,9.820756912938634e-13,-0.14750744739335123
5.58628064486389e-14,-0.1420881085158066,5.207948647005467e-13,-0.1420881085158066
5.114408545523905e-14,-0.13669944625906655,4.465856395945605e-13,-0.13669944625906655
2.0099563235392393e-13,-0.1313401827067954,1.7698223053392305e-12,-0.1313401827067954
2.0440679293929674e-13,-0.1260090004656304,1.8996039533351175e-12,-0.1260090004656304
2.4289855771902145e-13,-0.1207046499990866,2.2496999186838015e-12,-0.1207046499990866
6.995595495469813e-13,-0.11542580472219244,6.389810053131372e-12,-0.11542580472219244
7.977921233710428e-14,-0.11017130940872472,7.080998735425598e-13,-0.11017130940872472
2.3885790778060857e-13,-0.10493992869843018,2.308936570105147e-12,-0.10493992869843018
2.931026499841377e-13,-0.0997304181027654,2.644356486812758e-12,-0.0997304181027654
7.904337363466185e-13,-0.09454166259199483,7.00601811280078e-12,-0.09454166259199483
9.133015113846563e-14,-0.08937253392767527,7.109692466137024e-13,-0.08937253392767527
4.30366101264218e-13,-0.08422178625533205,3.979448857039595e-12,-0.08422178625533205
8.290679751565961e-13,-0.07908840189324706,7.518290418314256e-12,-0.07908840189324706
4.987646978823579e-13,-0.07397124274537664,4.661343947088147e-12,-0.07397124274537664
3.631738639031219e-14,-0.06886918835540558,3.8644407895125745e-13,-0.06886918835540558
1.0156199534137182e-13,-0.06378113455414479,1.0290897434750683e-12,-0.06378113455414479
1.3981616532878952e-12,-0.05870612832050135,1.1798707305742082e-11,-0.05870612832050135
7.24390023739747e-14,-0.05364295733461219,5.755686405631106e-13,-0.05364295733461219
2.202614263707144e-12,-0.0485906264672488,2.043741996856307e-11,-0.0485906264672488
5.5091404680296197e-14,-0.04354815133081959,5.208497685504748e-13,-0.04354815133081959
4.5857238494683246e-12,-0.038514422277497184,4.0170244973092766e-11,-0.038514422277497184
6.0719094048712515e-12,-0.03348847405584395,5.4274564696704576e-11,-0.03348847405584395
9.175643977979106e-12,-0.028469214432704844,8.514450333538586e-11,-0.028469214432704844
2.5930624419524934e-13,-0.02345569290916999,2.8234956845729234e-12,-0.02345569290916999
1.2777360500609784e-11,-0.018446897403478452,1.1452450696702612e-10,-0.018446897403478452
5.895020255906326e-13,-0.013441753584286417,6.789331995464474e-12,-0.013441753584286417
6.269504513859746e-11,-0.008439325220939426,5.167839215196588e-10,-0.008439325220939426
3.672657928863564e-14,0.6140264243201904,3.5148025750331694e-13,0.6140264243201904
1.2809134047654728e-15,0.6152820168780289,1.3320504160752043e-14,0.6152820168780289
1.6947628228972965e-14,0.6165406577854474,1.0342886351873976e-13,0.6165406577854474
2.02849197240057e-15,0.6178024671295262,6.129516633916183e-15,0.6178024671295262
4.1229167616974346e-14,0.6190674670214455,3.0652688534396805e-13,0.6190674670214455
6.727363392886146e-14,0.6203354803887031,6.240570251914038e-13,0.6203354803887031
1.1043607022286894e-14,0.6216067279231695,1.284183182842571e-13,0.6216067279231695
2.0185728432009287e-14,0.6228810317321853,1.3434606860482557e-13,0.6228810317321853
6.705037414935226e-15,0.6241586141482334,5.190290402111125e-14,0.6241586141482334
2.7351054439794468e-14,0.6254393973924175,2.1330422785058634e-13,0.6254393973924175
1.9523543972524152e-14,0.6267233026482928,2.089373557410855e-13,0.6267233026482928
2.5782555283717718e-14,0.6280105547535408,1.7073260196076786e-13,0.6280105547535408
3.005741136617313e-16,0.6293008718617406,4.3308644502602783e-16,0.6293008718617406
3.3395473166155755e-14,0.6305945817579837,2.868194516465159e-13,0.6305945817579837
1.9130054241694753e-14,0.6318915036444954,1.4694361899552595e-13,0.6318915036444954
7.82193833787722e-17,0.6331917629266217,2.971244011389955e-15,0.6331917629266217
6.406392119860081e-14,0.6344952801715411,6.253033944157207e-13,0.6344952801715411
4.3861945878652107e-14,0.6358020783718531,4.070669722749436e-13,0.6358020783718531
2.4276573243227363e-14,0.637112284575195,1.6399065357862401e-13,0.637112284575195
4.634179529667268e-14,0.6384257148820395,3.7544350391828193e-13,0.6384257148820395
1.6643134683784248e-15,0.6397426009589235,1.7047957301163935e-14,0.6397426009589235
4.876466479934445e-14,0.6410628628708652,3.7315508040583077e-13,0.6410628628708652
1.2613006219081778e-14,0.6423864195802317,1.4026329873072612e-13,0.6423864195802317
2.804012188496261e-15,0.643713505452351,4.183645088914798e-14,0.643713505452351
5.842345714199477e-15,0.6450439344115126,6.216683877013382e-14,0.6450439344115126
7.189282538898664e-15,0.646377836465736,8.90964534472821e-14,0.646377836465736
1.5038253193754696e-16,0.6477151301638998,2.8780821066729216e-15,0.6477151301638998
7.67919187122756e-15,0.6490559466776172,7.121962370713485e-14,0.6490559466776172
5.362261282236787e-14,0.6504002043521439,5.576328653291498e-13,0.6504002043521439
5.2764828430758e-14,0.6517480355425023,4.722849907522904e-13,0.6517480355425023
1.2837222245140202e-14,0.6530993583945804,1.2362725308308148e-13,0.6530993583945804
2.438872395077224e-16,0.6544541981818226,2.107138070067371e-15,0.6544541981818226
1.9097610056375645e-14,0.6558125804279311,1.9048030055876594e-13,0.6558125804279311
5.5438151014922446e-14,0.6571745309100026,5.635659734144692e-13,0.6571745309100026
8.311322002513422e-14,0.6585400756617118,8.445321110835836e-13,0.6585400756617118
7.700155487724648e-14,0.6599092409765417,7.588037770374275e-13,0.6599092409765417
3.3744772358831333e-14,0.6612820534110616,2.877552408813326e-13,0.6612820534110616
9.475089120390843e-15,0.6626584293340698,1.0318878382793524e-13,0.6626584293340698
1.2291872947457622e-14,0.6640385055547599,1.0402350570207025e-13,0.6640385055547599
3.7569871026892245e-14,0.6654221982385552,4.152149120820486e-13,0.6654221982385552
4.2946559263375176e-14,0.6668096454692404,3.534299266600142e-13,0.6668096454692404
1.8266729366734016e-14,0.6682007632138346,1.3505056169886668e-13,0.6682007632138346
6.997493940941345e-14,0.6695956908531198,7.380057018387107e-13,0.6695956908531198
2.2256322671632903e-14,0.6709942314608832,2.0000143598997508e-13,0.6709942314608832
1.2518491136631895e-14,0.6723965245917042,6.916309211548075e-14,0.6723965245917042
8.383805203848711e-15,0.6738027116048896,7.962845961493485e-14,0.6738027116048896
1.751397370698749e-14,0.675212594131718,1.2594816080875134e-13,0.675212594131718
3.155567110378329e-14,0.6766263137200719,3.5205531814877363e-13,0.6766263137200719
7.53490762404746e-14,0.678043899127709,7.356239415320324e-13,0.678043899127709
1.891517024843243e-14,0.6794653794081371,1.3159440241908547e-13,0.6794653794081371
2.0375699159386558e-14,0.680890668492052,2.3514372341796737e-13,0.680890668492052
1.994490077788639e-15,0.6823197948413475,1.784255531252559e-14,0.6823197948413475
5.914736265060796e-14,0.6837529034322157,5.927598804156015e-13,0.6837529034322157
1.1223874702803088e-14,0.6851899079013709,1.308270186269892e-13,0.6851899079013709
3.850578438296508e-14,0.6866308376087703,3.7508934245586184e-13,0.6866308376087703
4.1226478780353333e-17,0.6880757222191616,6.644814993253866e-16,0.6880757222191616
3.7570569047693656e-15,0.6895245917060663,2.2658046711214718e-14,0.6895245917060663
1.4523571560522098e-14,0.6909774763558257,1.6374473655441947e-13,0.6909774763558257
1.303666825248937e-16,0.6924344067717115,1.4897477972640747e-16,0.6924344067717115
3.869984690643709e-15,0.6938954138780942,2.0448030597784565e-14,0.6938954138780942
1.1952932192252169e-14,0.6953604094106446,1.2038875733177066e-13,0.6953604094106446
1.4304641371330053e-14,0.6968295436169075,1.8101453817382133e-13,0.6968295436169075
1.4765977723439277e-14,0.6983027280400342,9.784541562235932e-14,0.6983027280400342
2.6178955469874244e-15,0.6997799936396806,2.7325789019059712e-14,0.6997799936396806
5.557576157677087e-15,0.7012614929238181,3.4101208759207837e-14,0.7012614929238181
6.678916061015999e-14,0.7027471371561372,7.133513373412506e-13,0.7027471371561372
4.9753450968450896e-14,0.7042368362081292,5.255782288394965e-13,0.7042368362081292
3.592360259456547e-14,0.7057308661247575,3.5118291842381113e-13,0.7057308661247575
7.214162475822043e-14,0.7072291378989437,6.98441323441389e-13,0.7072291378989437
3.4555323267399626e-16,0.7087315611129799,7.149183065426417e-15,0.7087315611129799
2.7229954401266314e-14,0.7102382916393251,2.1009093330628384e-13,0.7102382916393251
5.573173229850779e-14,0.7117493631801576,4.726541059426233e-13,0.7117493631801576
5.4438214312020154e-14,0.7132646850376878,4.778244075664233e-13,0.7132646850376878
3.856578701299612e-14,0.7147842902808594,2.818696819743116e-13,0.7147842902808594
1.2688533174139894e-14,0.7163083380124853,1.0354398409280491e-13,0.7163083380124853
1.2601601673969814e-15,0.7178367372644875,1.1276708121647936e-14,0.7178367372644875
5.021620151604338e-14,0.7193695221991081,4.4412907346080703e-13,0.7193695221991081
1.1992670632693706e-14,0.7209067273501012,1.1817963185815475e-13,0.7209067273501012
7.678574267572335e-15,0.722448387627796,4.819192913834833e-14,0.722448387627796
2.925476357549608e-14,0.7239944103130143,2.1967029945351597e-13,0.7239944103130143
3.956586272772461e-15,0.7255450866315288,6.482743614152809e-14,0.7255450866315288
3.7528158051698096e-14,0.727100067184868,4.101631680493593e-13,0.727100067184868
5.249999693619743e-14,0.7286597738934579,4.141522952423008e-13,0.7286597738934579
3.026286540801087e-14,0.7302238552690336,2.1478861764860674e-13,0.7302238552690336
3.809102218485264e-14,0.7317926064955985,2.850008531759346e-13,0.7317926064955985
6.520409731615971e-14,0.7333659343291161,6.993238284818914e-13,0.7333659343291161
1.481331272349932e-15,0.7349440067788809,2.7691611653061864e-14,0.7349440067788809
4.172539702970116e-14,0.7365265985429565,3.423051907867783e-13,0.7365265985429565
5.3921125084427856e-14,0.7381138779553511,5.211932496402041e-13,0.7381138779553511
8.940215818949849e-14,0.7397058828571277,9.142712101025254e-13,0.7397058828571277
8.826323965271673e-15,0.7413025180996999,8.223627924964695e-14,0.7413025180996999
7.155853444542214e-14,0.7429039547706575,6.465440080241925e-13,0.7429039547706575
9.733085340188962e-14,0.744510097553232,1.0016870580611542e-12,0.744510097553232
7.20222504872865e-15,0.7461211194130647,8.063943877953217e-14,0.7461211194130647
4.535957453127664e-14,0.7477369248759502,4.461578209051164e-13,0.7477369248759502
